PROTID	GENEID	110714_yeast_ups1_2fmol_r1_INT	110714_yeast_ups1_2fmol_r2_INT	110714_yeast_ups1_2fmol_r3_INT
na	na	110714_yeast_ups1_2fmol_r1	110714_yeast_ups1_2fmol_r2	110714_yeast_ups1_2fmol_r3
		0	792287.06	0
		2.2278954E7	0	0
		1.0717882E7	0	0
		3152464.0	0	0
		0	7183855.0	0
		1.059123E7	0	0
		0	0	1563900.1
		780814.9	0	0
		0	751528.25	0
		4.7285436E7	0	0
		4323080.5	0	0
		0	0	1.8344716E7
		0	0	2.38369024E8
		2408219.8	0	0
		0	2213378.2	0
		3176844.2	0	0
		1.0680871E7	0	0
		0	0	1993949.6
		0	4.9110512E7	0
		5210213.5	0	0
		9612416.0	0	0
		1.776457E7	0	0
		0	681716.5	0
		3411336.2	0	0
		1.2938144E7	0	2.514361E7
		3298586.5	0	0
		0	0	5.0945796E7
		0	5231686.0	0
		1.1569651E7	0	0
		0	562298.06	0
		0	8825822.0	0
		1095884.8	0	0
		8417912.0	0	0
		1608406.5	0	0
		0	2291756.8	0
		0	3822621.8	0
		0	4321592.5	0
		2548635.2	0	0
		374142.47	0	0
		8318920.0	0	0
		2552297.0	0	0
		0	0	4550321.5
		1051549.4	0	0
		4643108.0	0	0
		0	5886956.5	0
		1889087.0	0	0
		365138.47	1792064.2	0
		1845408.4	0	0
		0	813420.6	0
		763810.0	0	0
		0	2.9511916E7	0
		0	0	806871.4
		0	0	3920620.5
		716549.2	0	0
		4220702.0	0	0
		0	0	1057087.6
		0	3.1747064E7	0
		1890967.2	0	0
		0	2.7337058E7	0
		4754455.5	0	0
		857225.44	0	0
		5670865.5	0	0
		0	3.1385848E7	0
		2.5420918E7	0	0
		2.9932324E7	0	0
