PROTID	GENEID	PROTLEN	110714_yeast_ups1_2fmol_r1_SPC	110714_yeast_ups1_2fmol_r2_SPC	110714_yeast_ups1_2fmol_r3_SPC
na	na	na	110714_yeast_ups1_2fmol_r1	110714_yeast_ups1_2fmol_r2	110714_yeast_ups1_2fmol_r3
		430	0	1	0
		661	1	0	0
		348	1	0	0
		153	1	0	0
		233	1	0	0
		511	2	0	1
		479	1	0	0
		709	2	0	0
		767	0	1	0
		444	1	0	0
		902	0	0	1
		946	1	0	0
		575	0	1	0
		488	1	0	0
		649	1	0	0
		499	0	0	1
		655	1	0	0
		642	0	0	2
		549	1	0	1
		505	1	0	0
		313	0	1	0
		334	1	0	0
		350	0	1	0
		190	1	0	0
		1014	0	1	0
		428	0	0	2
		525	0	1	0
		1653	1	0	0
		363	1	0	0
		103	1	0	0
		1250	0	1	0
		835	0	1	0
		394	1	0	0
		649	1	0	1
		286	1	0	0
		526	0	0	1
		1180	0	1	0
		260	2	0	0
		952	0	1	0
		407	0	1	0
		1092	0	1	0
		171	1	0	0
		273	1	0	0
		283	1	0	0
		1133	0	1	0
		592	0	1	0
		690	0	1	0
		993	1	0	0
		714	1	0	0
		106	1	0	0
		546	1	0	0
		295	0	0	1
		1113	1	0	0
		198	1	0	0
		656	0	1	0
		550	1	0	0
		708	1	1	0
		590	1	0	0
		486	1	0	0
		329	0	1	0
		1201	0	1	0
		350	1	0	0
		500	0	1	0
		121	0	0	1
		992	0	0	1
		1088	1	0	0
		295	1	1	0
		311	0	0	1
		1040	0	1	0
		539	1	0	0
		437	0	0	1
		173	1	0	0
		199	0	1	0
		446	1	0	0
		92	1	0	0
		867	1	0	0
		490	1	0	0
		284	0	1	0
		298	0	1	0
		396	0	2	0
		437	1	0	0
		504	0	1	0
		842	0	1	0
		842	1	0	0
		626	0	1	0
